"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"541","Connor McDavid","EDM","C","238","5224.2166666667","140","268","171","97","408","80.31","930","15.05","117.96","1462","1188","999","435","39","121","111","49","47","1","1","136","229","223","282","359","100","1529","1393","52.33"
"458","Leon Draisaitl","EDM","C","241","5202.9833333333","148","196","131","65","344","71.82","742","19.95","96.2","1331","1063","792","306","33","98","140","61","59","0","2","70","282","233","177","415","84","2520","2062","55.00"
"423","Nathan MacKinnon","COL","C","218","4824.2666666667","125","214","130","84","339","74.18","1070","11.68","93.54","1822","1391","950","286","56","119","114","50","47","2","1","104","185","122","176","240","139","1509","1817","45.37"
"267","Nikita Kucherov","T.B","R","210","4344.0666666667","99","227","137","90","326","78.37","733","13.51","76.57","1456","1068","723","221","33","114","80","40","40","0","0","76","231","143","138","235","42","5","2","71.43"
"604","Artemi Panarin","NYR","L","239","4699.2666666667","100","208","114","94","308","79.38","684","14.62","66.58","1451","1002","695","150","29","106","78","35","34","0","1","50","245","126","66","133","34","8","23","25.81"
"550","Mikko Rantanen","COL","R","237","5227.6666666667","133","168","110","58","301","62.84","832","15.99","96.23","1543","1191","885","323","32","107","188","84","82","0","2","83","137","152","188","399","120","661","657","50.15"
"645","Matthew Tkachuk","CGY, FLA","L","241","4573.2333333333","108","193","121","72","301","69.68","857","12.60","119.25","1493","1193","942","536","28","151","279","103","91","5","7","124","215","118","312","199","70","36","45","44.44"
"477","David Pastrnak","BOS","R","236","4577.9","148","152","97","55","300","76.92","1101","13.44","106.33","2005","1509","984","300","59","140","105","46","44","1","1","81","284","141","224","361","64","23","41","35.94"
"648","Auston Matthews","TOR","C","228","4703.3833333333","169","129","79","50","298","68.04","1044","16.19","122","1861","1471","1240","506","42","154","58","25","24","0","1","59","157","245","234","293","233","1946","1651","54.10"
"280","J.T. Miller","VAN","C","242","4937.9666666667","101","183","117","66","284","74.35","623","16.21","77.07","1130","908","700","302","31","94","165","72","65","7","0","64","158","150","590","258","163","1977","1603","55.22"
"588","Mitchell Marner","TOR","C, R","221","4673.75","91","190","116","74","281","72.42","578","15.74","63.8","1187","823","641","220","37","78","62","31","31","0","0","49","217","235","187","275","121","14","24","36.84"
"618","Kirill Kaprizov","MIN","L","223","4580.4333333333","133","146","98","48","279","75.61","827","16.08","97.58","1595","1184","908","349","38","124","105","49","48","1","0","97","199","145","194","322","88","7","8","46.67"
"31","Sidney Crosby","PIT","C","233","4677.1166666667","106","165","101","64","271","70.94","741","14.30","95.68","1267","1018","766","379","50","124","124","54","52","0","2","67","178","166","222","211","113","2828","2340","54.72"
"99","Steven Stamkos","T.B","C","241","4475.9166666667","116","155","90","65","271","68.26","743","15.61","83.7","1340","1036","757","227","29","99","116","58","58","0","0","41","130","78","263","240","69","1401","1231","53.23"
"795","Jason Robertson","DAL","L","238","4387.65","116","152","81","71","268","71.66","764","15.18","82.89","1442","1039","777","299","28","131","64","32","32","0","0","34","161","170","184","266","71","0","1","0.00"
"462","William Nylander","TOR","C, R","245","4633.4833333333","114","151","97","54","265","69.55","865","13.18","92.61","1563","1192","905","355","58","117","68","34","34","0","0","46","115","197","69","286","84","115","128","47.33"
"787","Elias Pettersson","VAN","C","242","4743.1666666667","105","154","88","66","259","68.52","656","16.01","80.27","1278","964","718","273","32","88","38","18","18","0","0","96","116","162","248","323","193","1086","1250","46.49"
"239","Johnny Gaudreau","CBJ, CGY","L","243","4600.2833333333","73","176","117","59","249","71.35","642","11.37","72.64","1173","872","640","212","43","85","70","27","25","0","2","65","171","133","17","107","49","1","1","50.00"
"424","Aleksander Barkov","FLA","C","208","4237.05","85","161","92","69","246","68.33","616","13.80","70.57","1058","836","658","277","27","93","50","24","24","0","0","37","120","176","206","251","132","2074","1610","56.30"
"273","Mika Zibanejad","NYR","C","244","4826.4","94","150","95","55","244","65.42","691","13.60","79.25","1237","1021","596","241","37","75","62","27","26","0","1","60","171","167","187","215","140","1938","1910","50.36"
"457","Sam Reinhart","FLA","C","242","4672.3333333333","121","122","77","45","243","65.32","646","18.73","104.85","1178","954","824","458","47","112","56","23","21","2","0","39","116","112","185","456","136","644","711","47.53"
"492","Brayden Point","T.B","C","229","4519.4166666667","125","118","63","55","243","60.60","640","19.53","94.83","1106","895","916","481","32","91","54","21","17","4","0","49","104","120","128","240","65","1077","1106","49.34"
"815","Cale Makar","COL","D","214","5466.5166666667","66","176","86","90","242","56.54","647","10.20","42.82","1436","929","468","66","24","110","72","35","35","0","0","61","130","169","197","147","324","0","0","-"
"110","Roman Josi","NSH","D","229","5749.7333333333","64","176","95","81","240","59.70","818","7.82","48.82","1707","1121","560","95","17","138","127","62","61","1","0","49","160","105","163","370","401","0","0","-"
"554","Sebastian Aho","CAR","C, R","232","4489.8","109","128","86","42","237","69.50","655","16.64","92.56","1179","951","756","388","45","99","116","56","56","0","0","71","176","181","183","253","57","1657","1491","52.64"
"880","Quinn Hughes","VAN","D","236","5943.0833333333","32","204","101","103","236","55.40","503","6.36","26.31","1250","720","361","31","15","96","100","50","50","0","0","44","139","140","77","331","174","0","0","-"
"390","Jake Guentzel","CAR, PIT","C, L","221","4437.8333333333","106","128","82","46","234","65.18","746","14.21","112.06","1320","1031","985","498","27","144","112","54","54","0","0","85","97","118","203","405","107","27","37","42.19"
"537","Kyle Connor","WPG","L","226","4685.8166666667","112","122","71","51","234","73.58","811","13.81","86.32","1394","1064","842","290","39","94","30","15","15","0","0","24","118","147","89","180","63","5","16","23.81"
"20","Alex Ovechkin","WSH","L","229","4577.4","123","107","62","45","230","67.45","900","13.67","99.98","1825","1275","804","248","44","141","86","38","37","0","1","32","137","89","507","121","71","8","16","33.33"
"465","Kevin Fiala","L.A, MIN","L","233","4139.7166666667","85","145","85","60","230","76.16","695","12.23","75.57","1281","973","723","283","31","91","166","73","71","0","2","71","148","101","172","285","50","22","47","31.88"
"702","Jesper Bratt","N.J","L","240","4331.4833333333","85","144","84","60","229","68.36","657","12.94","69.79","1153","916","719","288","43","98","34","17","17","0","0","46","135","109","116","221","52","8","17","32.00"
