"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4951.65","27","50","5","26","59","0.360","4331","5309","44.93","3156","3857","45.00","2194","2666","45.14","203","293","40.93","209.96","282.44","42.64","1939","2555","43.15","1074","1393","43.53","163","235","40.95","15.18","83.13","804","1107","42.07","534","745","41.75","102","142","41.80","19.10","80.94","1135","1448","43.94","540","648","45.45","61","93","39.61","11.30","85.65","2646","3276","44.68","969","1161","45.49","37","53","41.11","3.82","95.43","9.25","89.01","0.983"
"2","Arizona Coyotes","82","4964.0333","36","41","5","34","77","0.470","4650","5129","47.55","3369","3785","47.09","2275","2599","46.68","254","274","48.11","241.32","270.79","47.12","2275","2510","47.54","1208","1358","47.08","196","214","47.80","16.23","84.24","901","1019","46.93","599","661","47.54","119","121","49.58","19.87","81.69","1374","1491","47.96","609","697","46.63","77","93","45.29","12.64","86.66","2654","3116","46.00","961","1103","46.56","52","51","50.49","5.41","95.38","11.16","89.46","1.006"
"3","Boston Bruins","82","5002.6833","47","20","15","43","109","0.665","4610","5097","47.49","3383","3679","47.90","2396","2505","48.89","263","221","54.34","250.77","252.98","49.78","2340","2428","49.08","1346","1282","51.22","216","183","54.14","16.05","85.73","1036","1006","50.73","732","673","52.10","146","121","54.68","19.95","82.02","1304","1422","47.84","614","609","50.20","70","62","53.03","11.40","89.82","2566","3036","45.81","917","1097","45.53","42","33","56.00","4.58","96.99","10.98","91.18","1.022"
"4","Buffalo Sabres","82","4958.4167","39","37","6","37","84","0.512","4926","4851","50.38","3591","3557","50.24","2535","2402","51.35","244","243","50.10","242.48","265.43","47.74","2263","2382","48.72","1290","1296","49.88","186","196","48.69","14.42","84.88","858","1041","45.18","572","686","45.47","90","121","42.65","15.73","82.36","1405","1341","51.17","718","610","54.07","96","75","56.14","13.37","87.70","3004","2878","51.07","1135","1000","53.16","50","43","53.76","4.41","95.70","9.63","89.88","0.995"
"5","Carolina Hurricanes","82","4972.7","52","23","7","50","111","0.677","5821","3999","59.28","4158","2977","58.28","2735","2101","56.56","277","211","56.76","278.57","212.24","56.76","2590","1899","57.70","1330","1118","54.33","219","179","55.03","16.47","83.99","1054","832","55.89","663","590","52.91","136","104","56.67","20.51","82.37","1536","1067","59.01","667","528","55.82","83","75","52.53","12.44","85.80","3645","2349","60.81","1292","833","60.80","51","24","68.00","3.95","97.12","10.13","89.96","1.001"
"6","Columbus Blue Jackets","82","4978.6333","27","43","12","24","66","0.402","5052","5516","47.80","3578","3993","47.26","2458","2823","46.54","234","298","43.98","240.1","290.11","45.28","2308","2631","46.73","1218","1410","46.35","195","229","45.99","16.01","83.76","870","1093","44.32","575","725","44.23","116","138","45.67","20.17","80.97","1438","1538","48.32","643","685","48.42","79","91","46.47","12.29","86.72","3009","3272","47.91","1105","1280","46.33","37","62","37.37","3.35","95.16","9.52","89.44","0.990"
"7","Calgary Flames","82","4962.2","38","39","5","38","81","0.494","5257","5009","51.21","3771","3530","51.65","2573","2438","51.35","253","267","48.65","264.16","255.11","50.87","2404","2438","49.65","1264","1311","49.09","194","206","48.50","15.35","84.29","982","968","50.36","648","666","49.32","129","117","52.44","19.91","82.43","1422","1470","49.17","616","645","48.85","65","89","42.21","10.55","86.20","3228","2955","52.21","1167","998","53.90","52","49","51.49","4.46","95.09","9.83","89.05","0.989"
"8","Chicago Blackhawks","82","4949.9667","23","53","6","22","52","0.317","4256","5265","44.70","3046","3810","44.43","2153","2683","44.52","178","289","38.12","210.19","268.55","43.90","1995","2611","43.31","1121","1430","43.94","152","229","39.90","13.56","83.99","809","1115","42.05","546","731","42.76","101","155","39.45","18.50","78.80","1186","1496","44.22","575","699","45.13","51","74","40.80","8.87","89.41","2530","3080","45.10","927","1133","45.00","24","53","31.17","2.59","95.32","8.27","89.23","0.975"
"9","Colorado Avalanche","82","4969.4","50","25","7","48","107","0.652","5333","4812","52.57","3826","3503","52.20","2707","2446","52.53","302","252","54.51","265.52","255.19","50.99","2588","2226","53.76","1424","1253","53.19","238","201","54.21","16.71","83.96","1083","990","52.24","718","699","50.67","149","138","51.92","20.75","80.26","1505","1236","54.91","706","554","56.03","89","63","58.55","12.61","88.63","3165","2956","51.71","1153","1060","52.10","53","44","54.64","4.60","95.85","11.16","89.70","1.009"
"10","Dallas Stars","82","4982.1167","52","21","9","48","113","0.689","5301","4740","52.79","3798","3413","52.67","2588","2350","52.41","294","232","55.89","278","221.19","55.69","2624","2128","55.22","1411","1161","54.86","250","192","56.56","17.72","83.46","1094","841","56.54","719","566","55.95","157","120","56.68","21.84","78.80","1530","1287","54.31","692","595","53.77","93","72","56.36","13.44","87.90","3098","2955","51.18","1057","1069","49.72","37","35","51.39","3.50","96.73","11.36","90.13","1.015"
"11","Detroit Red Wings","82","4980.4333","41","32","9","38","91","0.555","4681","5337","46.73","3390","3867","46.71","2375","2657","47.20","275","273","50.18","236.13","268.07","46.83","2178","2554","46.03","1192","1369","46.54","213","227","48.41","17.87","83.42","807","1007","44.49","577","663","46.53","125","135","48.08","21.66","79.64","1371","1547","46.98","615","706","46.56","88","92","48.89","14.31","86.97","2868","3221","47.10","1035","1167","47.00","55","40","57.89","5.31","96.57","11.58","89.73","1.013"
"12","Edmonton Oilers","82","4969.1","49","27","6","47","104","0.634","5374","4461","54.64","3919","3266","54.54","2766","2307","54.52","292","236","55.30","305.48","232.95","56.74","2763","2227","55.37","1498","1236","54.79","233","193","54.69","15.55","84.39","1253","875","58.88","839","588","58.79","164","119","57.95","19.55","79.76","1510","1352","52.76","659","648","50.42","69","74","48.25","10.47","88.58","3108","2591","54.54","1130","964","53.96","54","35","60.67","4.78","96.37","10.56","89.77","1.003"
"13","Florida Panthers","82","4970.5","52","24","6","49","110","0.671","5624","4399","56.11","3954","3273","54.71","2766","2280","54.82","265","198","57.24","290.33","226.44","56.18","2611","2008","56.53","1378","1157","54.36","208","161","56.37","15.09","86.08","1111","884","55.69","726","625","53.74","127","107","54.27","17.49","82.88","1500","1124","57.16","652","532","55.07","81","54","60.00","12.42","89.85","3388","2648","56.13","1244","974","56.09","46","32","58.97","3.70","96.71","9.58","91.32","1.009"
