"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","246","14939.2667","81","134","31","73","193","0.392","12964","15767","45.12","9666","11992","44.63","6915","8596","44.58","637","894","41.61","645.62","862.32","42.81","6200","8013","43.62","3592","4780","42.90","507","702","41.94","14.11","85.31","2554","3467","42.42","1826","2482","42.39","331","449","42.44","18.13","81.91","3646","4546","44.51","1766","2298","43.45","176","253","41.03","9.97","88.99","6378","7775","45.06","2797","3453","44.75","117","174","40.21","4.18","94.96","9.21","89.60","0.988"
"2","Arizona Coyotes","246","14925.2833","89","131","26","83","204","0.415","12509","15479","44.69","9301","11760","44.16","6517","8377","43.76","685","877","43.85","646.72","833.58","43.69","6257","7920","44.13","3599","4594","43.93","553","706","43.92","15.37","84.63","2543","3281","43.66","1764","2281","43.61","336","426","44.09","19.05","81.32","3714","4639","44.46","1835","2313","44.24","217","280","43.66","11.83","87.89","6098","7594","44.54","2620","3405","43.49","120","151","44.28","4.58","95.57","10.51","89.53","1.000"
"3","Boston Bruins","246","14945.05","163","58","25","153","351","0.713","14340","13936","50.71","10932","10355","51.36","8063","7308","52.46","817","613","57.13","771.87","688.52","52.85","7448","6826","52.18","4523","3790","54.41","670","502","57.17","14.81","86.75","3071","2728","52.96","2269","1926","54.09","418","331","55.81","18.42","82.81","4377","4098","51.65","2254","1864","54.74","252","171","59.57","11.18","90.83","6810","7023","49.23","3131","3089","50.34","133","95","58.33","4.25","96.92","10.13","91.61","1.017"
"4","Buffalo Sabres","246","14909.6167","113","109","24","105","250","0.508","13941","13972","49.94","10501","10854","49.17","7654","7816","49.48","766","827","48.09","716.3","783.47","47.76","6839","7199","48.72","4041","4335","48.24","599","676","46.98","14.82","84.41","2685","3183","45.76","1899","2276","45.49","333","423","44.05","17.54","81.41","4154","4016","50.84","2142","2059","50.99","266","253","51.25","12.42","87.71","6966","6793","50.63","3241","3129","50.88","144","133","51.99","4.44","95.75","10.01","89.42","0.994"
"5","Carolina Hurricanes","246","14932.6","158","64","24","151","340","0.691","16544","11815","58.34","12357","9101","57.59","8385","6544","56.17","816","621","56.78","858.91","659.09","56.58","7880","5898","57.19","4337","3606","54.60","668","528","55.85","15.40","85.36","3419","2702","55.86","2270","1943","53.88","431","339","55.97","18.99","82.55","4461","3196","58.26","2067","1663","55.42","237","189","55.63","11.47","88.63","8513","5593","60.35","3711","2494","59.81","128","78","62.14","3.45","96.87","9.73","90.51","1.002"
"6","Columbus Blue Jackets","246","14917.55","89","129","28","81","206","0.419","14150","15853","47.16","10395","11914","46.60","7322","8618","45.93","705","924","43.28","697.77","841.89","45.32","6729","7933","45.89","3808","4645","45.05","565","742","43.23","14.84","84.03","2578","3281","44.00","1797","2340","43.44","338","455","42.62","18.81","80.56","4151","4652","47.15","2011","2305","46.59","227","287","44.16","11.29","87.55","7089","7785","47.66","3083","3594","46.17","124","164","43.06","4.02","95.44","9.63","89.28","0.989"
"7","Calgary Flames","246","14927.05","126","87","33","122","285","0.579","16012","13435","54.38","11908","9976","54.41","8431","7056","54.44","802","720","52.69","821.94","699.31","54.03","7765","6788","53.36","4504","3931","53.40","644","591","52.15","14.30","84.97","3082","2693","53.37","2185","1908","53.38","406","336","54.72","18.58","82.39","4683","4095","53.35","2319","2023","53.41","238","255","48.28","10.26","87.39","7974","6556","54.88","3440","2715","55.89","137","107","56.15","3.98","96.06","9.51","89.80","0.993"
"8","Chicago Blackhawks","246","14913.6833","77","144","25","68","179","0.364","12598","15254","45.23","9241","11216","45.17","6725","8144","45.23","593","877","40.34","622.63","784.93","44.23","6036","7710","43.91","3571","4446","44.54","504","695","42.04","14.11","84.37","2379","3087","43.52","1700","2187","43.74","324","446","42.08","19.06","79.61","3657","4623","44.17","1871","2259","45.30","180","249","41.96","9.62","88.98","6324","7411","46.04","2827","3345","45.80","83","153","35.17","2.94","95.43","8.82","89.23","0.980"
"9","Colorado Avalanche","246","14933.7833","157","68","21","145","335","0.681","15496","13930","52.66","11320","10423","52.06","8310","7613","52.19","884","707","55.56","780.54","727.31","51.77","7693","6618","53.76","4503","3957","53.23","694","564","55.17","15.41","85.75","3043","3004","50.32","2167","2159","50.09","429","386","52.64","19.80","82.12","4650","3614","56.27","2336","1798","56.51","265","178","59.82","11.34","90.10","7669","7044","52.12","3428","3236","51.44","163","121","57.39","4.75","96.26","10.64","90.71","1.014"
"10","Dallas Stars","246","14965.9","145","72","29","132","319","0.648","14920","14034","51.53","10916","10386","51.24","7692","7350","51.14","808","691","53.90","799.57","678.74","54.09","7680","6602","53.77","4365","3830","53.26","672","556","54.72","15.40","85.48","3274","2662","55.15","2264","1881","54.62","465","342","57.62","20.54","81.82","4406","3940","52.79","2101","1949","51.88","207","214","49.17","9.85","89.02","7015","7053","49.86","2917","3103","48.46","107","117","47.77","3.67","96.23","10.50","90.60","1.011"
