,team,Date,win streak,Hist Shots on Goal AVG,Hist Passes % AVG,Hist Shots off Goal AVG,Hist Total Shots AVG,Hist Blocked Shots AVG,Hist Fouls AVG,Hist Corner Kicks AVG,Hist Ball Possession AVG,Hist Yellow Cards AVG,Hist Goalkeeper Saves AVG,Hist intScore AVG
0,West Ham,2025-01-14,1,4.0519480519480515,79.22077922077922,4.961038961038961,12.337662337662337,3.324675324675325,10.2987012987013,4.792207792207792,41.246753246753244,1.8831168831168832,3.935064935064935,1.4415584415584415
1,Chelsea,2025-01-14,0,5.445945945945946,86.74324324324324,5.243243243243243,14.716216216216216,4.027027027027027,11.378378378378379,5.5675675675675675,59.148648648648646,2.675675675675676,3.2837837837837838,1.7567567567567568
2,Brentford,2025-01-14,1,4.5064935064935066,76.32467532467533,4.285714285714286,11.7012987012987,2.909090909090909,9.61038961038961,4.532467532467533,45.4025974025974,1.948051948051948,3.7012987012987013,1.5584415584415585
3,Nottingham Forest,2025-01-14,4,3.9324324324324325,76.16216216216216,4.594594594594595,11.486486486486486,2.9594594594594597,11.432432432432432,4.0,38.13513513513514,2.2162162162162162,2.8378378378378377,1.337837837837838
4,Everton,2025-01-15,0,4.0675675675675675,75.64864864864865,5.351351351351352,12.68918918918919,3.27027027027027,11.662162162162161,4.527027027027027,40.027027027027025,2.0675675675675675,3.108108108108108,0.9594594594594594
5,Leicester,2025-01-15,0,3.473684210526316,78.63157894736842,3.763157894736842,9.973684210526315,2.736842105263158,11.18421052631579,3.3157894736842106,44.78947368421053,2.1842105263157894,3.5526315789473686,1.1578947368421053
6,Arsenal,2025-01-15,3,5.618421052631579,85.59210526315789,5.276315789473684,15.986842105263158,5.092105263157895,10.302631578947368,6.7105263157894735,58.44736842105263,1.644736842105263,1.9736842105263157,2.3026315789473686
7,Newcastle,2025-01-15,4,5.223684210526316,82.63157894736842,5.118421052631579,14.592105263157896,4.25,10.421052631578947,5.7368421052631575,51.51315789473684,1.9473684210526316,3.1973684210526314,2.026315789473684
8,Ipswich,2025-01-16,1,3.25,78.75,3.45,9.6,2.9,12.15,4.35,40.4,2.75,3.85,1.0
9,Manchester United,2025-01-16,0,5.223684210526316,84.07894736842105,5.131578947368421,14.789473684210526,4.434210526315789,10.631578947368421,5.7368421052631575,51.61842105263158,2.0657894736842106,3.1578947368421053,1.394736842105263
10,Fulham,2025-01-14,1,4.783783783783784,81.20270270270271,5.04054054054054,12.891891891891891,3.0675675675675675,10.675675675675675,4.95945945945946,48.62162162162162,1.7027027027027026,2.972972972972973,1.5
11,Bournemouth,2025-01-14,2,5.297297297297297,80.60810810810811,5.135135135135135,14.324324324324325,3.891891891891892,10.054054054054054,5.972972972972973,55.95945945945946,2.1216216216216215,3.3513513513513513,1.5945945945945945
12,Manchester City,2025-01-14,2,3.0,81.61111111111111,2.8333333333333335,8.083333333333334,2.25,10.944444444444445,3.0555555555555554,34.388888888888886,2.3194444444444446,4.222222222222222,0.9861111111111112
13,Liverpool,2025-01-14,3,3.68,76.65333333333334,3.96,10.106666666666667,2.466666666666667,9.933333333333334,3.96,38.72,2.36,4.253333333333333,1.08
14,Aston Villa,2025-01-15,2,4.407894736842105,82.39473684210526,4.368421052631579,11.644736842105264,2.8684210526315788,13.144736842105264,4.5394736842105265,48.05263157894737,2.5526315789473686,2.763157894736842,1.4210526315789473
15,Crystal Palace,2025-01-15,1,4.026315789473684,83.96052631578948,4.5394736842105265,11.723684210526315,3.1578947368421053,11.723684210526315,5.118421052631579,55.88157894736842,2.0789473684210527,2.960526315789474,1.4210526315789473
16,Tottenham,2025-01-15,0,4.52054794520548,78.79452054794521,4.6438356164383565,12.767123287671232,3.6027397260273974,13.04109589041096,5.986301369863014,41.726027397260275,2.4246575342465753,3.506849315068493,1.6575342465753424
17,Wolves,2025-01-15,2,5.368421052631579,81.77631578947368,5.065789473684211,14.973684210526315,4.5394736842105265,10.973684210526315,6.157894736842105,50.86842105263158,2.289473684210526,2.723684210526316,1.8157894736842106
18,Brighton,2025-01-16,0,4.066666666666666,80.61333333333333,4.08,11.653333333333334,3.506666666666667,11.8,4.306666666666667,40.38666666666666,2.546666666666667,4.133333333333334,1.52
19,Southampton,2025-01-16,0,5.538461538461538,82.64102564102564,5.948717948717949,16.923076923076923,5.435897435897436,12.179487179487179,6.128205128205129,51.48717948717949,1.8205128205128205,2.4615384615384617,2.128205128205128
